401,Laurent,soigneur animalier,27,laurent@spa.fr,2023-09-12,101
402,Morel,agent de nettoyage enclos,34,morel@spa.fr,2022-05-18,101
403,Lefevre,accueil du public,22,lefevre@spa.fr,2024-02-03,102
404,Rousseau,responsable refuge,51,rousseau@spa.fr,2016-11-10,102
405,Garcia,promeneur canin,25,garcia@spa.fr,2023-07-01,103
406,Vidal,assistant veterinaire,39,vidal@spa.fr,2020-03-22,103
407,Blanchard,gestion adoptions,31,blanchard@spa.fr,2021-10-05,104
408,Faivre,accueil animaux,28,faivre@spa.fr,2022-06-14,104
409,Chevalier,responsable quarantaine,46,chevalier@spa.fr,2018-01-09,105
410,Mercier,soigneur animalier,24,mercier@spa.fr,2024-01-17,105
411,Benoit,promeneur canin,19,benoit@spa.fr,2024-03-11,106
412,Collet,gestion stocks,44,collet@spa.fr,2019-08-27,106
413,Renault,soins animaux,29,renault@spa.fr,2023-02-15,107
414,Julien,accueil adoptants,33,julien@spa.fr,2021-09-06,107
415,Marchal,agent technique,48,marchal@spa.fr,2017-04-20,108
416,Lemoine,coordinateur benevoles,41,lemoine@spa.fr,2019-12-02,108
417,Picard,promeneur canin,26,picard@spa.fr,2023-06-08,109
418,Gauthier,suivi post adoption,37,gauthier@spa.fr,2020-10-19,109
419,Leroy,soins animaux,32,leroy@spa.fr,2022-01-14,110
420,Caron,agent de nettoyage enclos,55,caron@spa.fr,2015-05-30,110
421,Lopez,veterinaire,43,lopez@spa.fr,2020-02-11,111
422,Martin,accueil animaux,21,martin@spa.fr,2024-02-01,111
423,Robin,soigneur animalier,36,robin@spa.fr,2021-06-23,112
424,Texier,administration,50,texier@spa.fr,2016-09-15,112
425,Pelletier,gestion stocks,30,pelletier@spa.fr,2022-11-07,113
426,Herve,agent de nettoyage enclos,27,herve@spa.fr,2023-08-19,113
427,Fernandez,sensibilisation publique,46,ferdandez@spa.fr,2018-03-12,114
428,Mallet,accueil du public,23,mallet@spa.fr,2024-01-10,114
429,Prevost,transport animaux,38,prevost@spa.fr,2021-07-29,115
430,Alex,responsable site,57,alex@spa.fr,2014-10-04,115
